Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Шашлычок,кафе,Кафе; Быстрое питание; Доставка готовых блюд,"улица Едил, 26/2",,,Юго-Восток (левая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,1032,87009005900 (служба доставки),,,kaminurka@mail.ru,,http://shashlychok.kz,,https://instagram.com/shashlychok01,,,https://wa.me/77477829898,,,,,,51.144624,71.528061,https://2gis.com/firm/70000001034564947,branch
Лачын,кафе,Кафе; Банкетные залы; Караоке-залы,"улица Карталы, 2а",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 14:00-02:00; Вт: 14:00-02:00; Ср: 14:00-02:00; Чт: 14:00-02:00; Пт: 14:00-02:00; Сб: 14:00-02:00; Вс: 14:00-02:00,+05:00,4.1,56,87075177758,,,,,,,https://instagram.com/lachyn_astana,,,https://wa.me/77075177758,,,,,,51.182978,71.369982,https://2gis.com/firm/70000001029202020,branch
Kuksi,,Кафе; Доставка готовых блюд,"улица Бухар жырау, 36",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.7,31,87051390692,,,,,,,https://instagram.com/kuksi_korean,,,https://wa.me/77051390692,,,,,,51.097377,71.441938,https://2gis.com/firm/70000001085763353,branch
Еда Города,сеть кафе домашней кухни,Кафе; Доставка готовых блюд,"проспект Ракымжан Кошкарбаев, 27/1",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.7,53,87051002133,,,director@edagoroda.kz,,http://edagoroda.kz,,https://instagram.com/edagoroda_kz,,,https://wa.me/77051002133,,,,,,51.128282,71.489947,https://2gis.com/firm/70000001080760141,branch
Cuprum,бар,Кафе; Бары,"переулок Жумабека Ташенова, 2",,,Жастар м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+05:00,4.0,35,87172440863,87786779004,,,,http://cuprum-hotel.business.site,,https://instagram.com/cuprum_bar,,,https://wa.me/77786779004,,,,,,51.153186,71.437552,https://2gis.com/firm/70000001018123778,branch
Антрекот ,,Кафе; Доставка готовых блюд,"улица Александра Пушкина, 3",,,Целинный м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,5.0,13,87054228831,,,,,,,,,,https://wa.me/77054228831,,,,,,51.156059,71.454618,https://2gis.com/firm/70000001085765902,branch
SF,,Кафе; Рестораны; Доставка готовых блюд; Пиццерии,"улица Сарайшык, 13Б/1",,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.1,910,87777888888 (служба доставки: круглосуточно ),,,,,http://shaurma-food.kz,,https://instagram.com/sf.qaz,,,https://wa.me/77777888888,,,,,https://youtube.com/@sf-2077,51.134274,71.436387,https://2gis.com/firm/70000001063303344,branch
Шашлычка,,Кафе,"улица Жумекен Нажимеденов, 17",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-01:45; Вт: 12:00-01:45; Ср: 12:00-01:45; Чт: 12:00-01:45; Пт: 12:00-01:45; Сб: 12:00-01:45; Вс: 12:00-01:45,+05:00,4.0,115,87077187118,,,,,http://shashlychka.kz,,https://instagram.com/shashlychka.astana,,,https://wa.me/77077187118,,,,,,51.113524,71.514244,https://2gis.com/firm/70000001067136704,branch
Изюм,кафе восточной кухни,Кафе; Доставка готовых блюд,"улица Санжара Асфендиярова, 11",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00,+05:00,4.0,130,87771154363,,,,,,,https://instagram.com/izum__astana,,,https://wa.me/77771154363,https://wa.me/77476669695,,viber://chat/?number=77771154363,,,51.136934,71.379511,https://2gis.com/firm/70000001068543963,branch
Балық,магазин готовой рыбной продукции,Кафе,"улица Максут Нарикбаев, 9",,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+05:00,4.6,38,87022315565,,,,,,,https://instagram.com/balyk_astana,,,https://wa.me/77022315565,,,,,,51.145247,71.382549,https://2gis.com/firm/70000001082803940,branch
HP Jungle,лаундж-бар,Кафе; Бары; Караоке-залы,"проспект Туран, 20",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-02:00,+05:00,5.0,12,87780028028,,,,,,,https://instagram.com/hookahplace.jungle,,,https://wa.me/77780028028,,,,,,51.141298,71.411443,https://2gis.com/firm/70000001086754930,branch
АЮ,бар,Кафе; Бары,"проспект Женис, 37",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.3,39,87470660024,,,,,,,https://instagram.com/ayu_bar_astana,,,https://wa.me/77470660024,,,,,,51.176489,71.410455,https://2gis.com/firm/70000001020609732,branch
Вмясо.kz,гриль-паб,Кафе; Бары,"проспект Бауыржан Момышулы, 2Б",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 14:00-02:00; Пт: 14:00-02:00; Сб: 14:00-02:00; Вс: 12:00-24:00,+05:00,4.4,78,87172537562,87074269425,,,,,,,,,https://wa.me/77074269425,,,,,,51.131753,71.459517,https://2gis.com/firm/70000001038986924,branch
Оазис,кафе,Кафе,"улица Е-429, 6",,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.7,25,87785027020,,,,,,,https://instagram.com/oasis.shyngys,,,https://wa.me/77785027020,,,,,,51.143331,71.359437,https://2gis.com/firm/70000001082945776,branch
Günaydın,,Кафе,"улица Сыганак, 11",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.6,44,87021345281,,,,,,,,,,https://wa.me/77021345281,,,,,,51.13078,71.380241,https://2gis.com/firm/70000001082737142,branch
Grand Pub,,Кафе; Бары; Доставка готовых блюд,"проспект Туран, 43/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 15:00-03:00; Вт: 15:00-03:00; Ср: 15:00-03:00; Чт: 15:00-03:00; Пт: 15:00-04:00; Сб: 15:00-04:00; Вс: 15:00-03:00,+05:00,4.0,75,87014646121,,,,,,,https://instagram.com/grand_pub_astana,,,https://wa.me/77014646121,,,,,,51.124355,71.401218,https://2gis.com/firm/70000001076144957,branch
Dublin,паб,Кафе; Бары,"улица Илияс Омаров, 27",,,,Нура район,Астана,,Астана,Казахстан,Пн: 17:00-01:00; Вт: 17:00-01:00; Ср: 17:00-01:00; Чт: 17:00-01:00; Пт: 17:00-02:00; Сб: 17:00-02:00; Вс: 17:00-01:00,+05:00,4.5,211,87765066636,,,,,http://dublinpub.2gis.biz/,,https://instagram.com/dublin_pub_astana,,,https://wa.me/77765066636,,,viber://chat/?number=77765066636,https://t.me/+77765066636,,51.142632,71.370457,https://2gis.com/firm/70000001034215701,branch
Замок Иф,кафе,Кафе,"улица Мухтара Ауэзова, 38",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.1,187,87172395405,87751167688,,,,,,https://instagram.com/zamok_if395405,,,https://wa.me/77751167688,,,,,,51.180162,71.420997,https://2gis.com/firm/70000001018093045,branch
Эверест,,Кафе,"улица Алиби Жангельдин, 18",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.6,115,87013453899,,,,,,,https://instagram.com/everest__cafe,,,https://wa.me/77013453899,,,,,,51.173215,71.416738,https://2gis.com/firm/70000001023808322,branch
Sesame,кофейня,Кафе; Кофейни,"проспект Кабанбай батыр, 62",2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.4,96,87019990633,,,,,http://cafecrema.kz,,https://instagram.com/sesame.kz,,,https://wa.me/77019990633,,,,,,51.089314,71.406358,https://2gis.com/firm/70000001035042118,branch
Шашлык house,,Кафе,"улица Кайрат Рыскулбеков, 11",,,Аль-Фараби м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.2,16,87077280068,,,,,,,https://instagram.com/shashlyk.house_astana,,,https://wa.me/77077280068,,,,,,51.15436,71.49605,https://2gis.com/firm/70000001083985008,branch
Plov_centr_hyati,,Кафе,"улица Ыкылас Дукенулы, 31/1",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.3,12,87080122727,,,,,,,https://instagram.com/plov_centr_hyati,,,https://wa.me/77080122727,,,,,,51.18151,71.435952,https://2gis.com/firm/70000001075864415,branch
Tompy pizza,,Кафе; Пиццерии,"проспект Абая, 63",1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+05:00,4.2,27,87479375747,,,,,,,https://instagram.com/tompy__pizza,,,https://wa.me/77479375747,,,,,,51.170997,71.439478,https://2gis.com/firm/70000001078227305,branch
Chef food,кафе ,Кафе; Доставка готовых блюд; Пиццерии; Суши-бары,"улица Жубан Молдагалиев, 10",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+05:00,4.8,75,87017761721,87064083969,,,,http://Chef-food.kz,,https://instagram.com/chef.food.astana,,,https://wa.me/77017761721,https://wa.me/77064083969,,,,,51.123949,71.377279,https://2gis.com/firm/70000001082580736,branch
Магас ​,,Кафе,"улица Александра Затаевича, 8",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.4,15,87021112052,87712542419,,,,,,https://instagram.com/magas_restaurant,,,https://wa.me/77021112052,https://wa.me/77712542419,,,,,51.188996,71.400743,https://2gis.com/firm/70000001071264607,branch
1001 ночь,ресто-бар,Кафе; Караоке-залы,"улица Кенесары, 70",,,Целинный м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 12:00-04:00; Вт: 12:00-04:00; Ср: 12:00-04:00; Чт: 12:00-04:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-04:00,+05:00,4.2,36,87712771944,,,,,,,https://instagram.com/karaoke_1001noch,,,https://wa.me/77712771944,,,,,,51.163536,71.459646,https://2gis.com/firm/70000001047560664,branch
Абат,,Кафе; Доставка готовых блюд,"улица Ыбырай Алтынсарин, 7",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 13:00-24:00; Вт: 13:00-24:00; Ср: 13:00-24:00; Чт: 13:00-24:00; Пт: 13:00-24:00; Сб: 13:00-24:00; Вс: 13:00-24:00,+05:00,4.9,23,87757131586,87757131585,,,,,,https://instagram.com/cafe_abat,,,https://wa.me/77757131586,https://wa.me/77757131585,,,,,51.190362,71.41193,https://2gis.com/firm/70000001042393454,branch
Faiz,ресто-бар ,Кафе; Бары,"улица Куляш Байсеитовой, 3/1",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 11:00-04:00; Вт: 11:00-04:00; Ср: 11:00-04:00; Чт: 11:00-04:00; Пт: 11:00-04:00; Сб: 11:00-04:00; Вс: 11:00-04:00,+05:00,4.3,17,87076689125,87478508065,,,,,,https://instagram.com/restobarfaiz,,,https://wa.me/77076689125,https://wa.me/77478508065,,,,,51.19788,71.392695,https://2gis.com/firm/70000001083470920,branch
Вкусная еда,,Кафе; Кондитерские изделия; Пекарни,"улица Сыганак, 18",2 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00,+05:00,4.7,21,87773049509,,,,,,,,,,https://wa.me/77773049509,,,,,,51.129489,71.380623,https://2gis.com/firm/70000001079113995,branch
Эзоза,,Кафе,"улица Кобыз, 45",,,Силикатный ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,5.0,37,87013820999,,,,,,,https://instagram.com/kafe_ezoza,,,https://wa.me/77013820999,,,,,,51.135996,71.521787,https://2gis.com/firm/70000001080694536,branch
All for me,кафе,Кафе,"улица Ахмет Байтурсынулы, 53",,,Силикатный ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00,+05:00,4.4,79,87052767606,,,,,,,https://instagram.com/cafe_all_for_me,,,https://wa.me/77052767606,,,,,,51.116584,71.522947,https://2gis.com/firm/70000001065434367,branch
Столичный Тандыр,,Кафе; Пекарни; Доставка готовых блюд; Кулинарии,"улица Кенжебек Кумисбеков, 2",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,4.0,60,87002063040,,,,,,,https://instagram.com/tandyr_food_ast,,,https://wa.me/77002063040,,,,,,51.16317,71.400899,https://2gis.com/firm/70000001076413119,branch
Emirate,лаундж-бар,Кафе; Бары,"улица Кенесары, 4",2 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 18:00-03:30; Вт: 18:00-03:30; Ср: 18:00-03:30; Чт: 18:00-03:30; Пт: 18:00-03:30; Сб: 18:00-03:30; Вс: 18:00-03:30,+05:00,4.6,41,87754555231,87473003747,,,,,,https://instagram.com/emirate.bar,,,https://wa.me/77754555231,https://wa.me/77473003747,,,https://t.me/+77473003747,,51.161861,71.402273,https://2gis.com/firm/70000001024459117,branch
Segafredo Caffe,кафе,Кафе; Кофейни,"проспект Абая, 22",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00,+05:00,4.1,57,87055967777,,,segafredocaffe.kz@gmail.com,,http://segafredo.kz/,,https://instagram.com/segafredo_astana,,,,,,,,,51.166394,71.412005,https://2gis.com/firm/70000001018691377,branch
Екеуміз,кафе,Кафе; Доставка готовых блюд,"улица Кенесары, 4",2 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,5.0,13,87023844252,87172574020,,,,,,https://instagram.com/cafe_vdvoem_astana,,,https://wa.me/77023844252,,,,,,51.161861,71.402273,https://2gis.com/firm/70000001018086124,branch
Barmaley,гриль-бар,Кафе; Доставка готовых блюд,"улица Желтоксан, 4",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.5,136,87086181108,,,,,http://barmaleybar.kz,,https://instagram.com/barma_leybar,,,https://wa.me/77086181108,,,,,,51.162389,71.418071,https://2gis.com/firm/70000001046914482,branch
Адеми Ай,кафе,Кафе,"улица Кажымукан, 6",1 этаж,,2 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 07:00-19:00; Вт: 07:00-19:00; Ср: 07:00-19:00; Чт: 07:00-19:00; Пт: 07:00-19:00; Сб: 07:00-19:00,+05:00,4.1,31,,,,,,,,,,,,,,,,,51.152828,71.463504,https://2gis.com/firm/70000001019574770,branch
Green,лаундж-бар,Кафе; Бары,"улица Сыганак, 17г",,,,Нура район,Астана,,Астана,Казахстан,Пн: 13:00-02:00; Вт: 13:00-02:00; Ср: 13:00-02:00; Чт: 13:00-02:00; Пт: 13:00-03:00; Сб: 14:00-03:00; Вс: 14:00-02:00,+05:00,4.5,178,87007557530,,,,,,,https://instagram.com/myata_green,,,https://wa.me/77007557530,,,,,,51.130169,71.391725,https://2gis.com/firm/70000001054776499,branch
Doner Food,,Кафе; Быстрое питание; Доставка готовых блюд,"улица Кайым Мухамедханов, 20",,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-01:00,+05:00,4.4,452,87783824444,,,,,,,https://instagram.com/donerfood_01,,,https://wa.me/77783824444,,,,,,51.142907,71.366384,https://2gis.com/firm/70000001069001476,branch
Bon Dior,,Кафе,"улица Алихан Бокейхан, 27/1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:45; Вт: 10:00-22:45; Ср: 10:00-22:45; Чт: 10:00-22:45; Пт: 10:00-22:45; Сб: 10:00-22:45; Вс: 10:00-22:45,+05:00,4.2,161,87024020749,,,,,,,https://instagram.com/bon_dior.cafe,,,https://wa.me/77024020749,,,,,,51.085585,71.428906,https://2gis.com/firm/70000001041061357,branch
Ажар,кафе,Кафе; Доставка готовых блюд,"улица Маскеу, 32",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 08:00-05:00; Вт: 08:00-05:00; Ср: 08:00-05:00; Чт: 08:00-05:00; Пт: 08:00-05:00; Сб: 08:00-05:00; Вс: 08:00-05:00,+05:00,4.2,65,87470483013,,,,,,,,,,https://wa.me/77470483013,,,,,,51.181484,71.408688,https://2gis.com/firm/70000001056529448,branch
Ceviche,,Кафе,"улица Алихан Бокейхан, 25b",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-21:00,+05:00,4.7,103,87055788090,,,,,,,https://instagram.com/ceviche_astana,,,https://wa.me/77053926850,,,,,,51.087167,71.430522,https://2gis.com/firm/70000001067689800,branch
Samarkand,,Кафе; Доставка готовых блюд,"проспект Улы Дала, 35",НП: 12,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.2,110,87712886434,,,,,,,https://instagram.com/samarkand.astana,,,https://wa.me/77712886434,,,,,,51.100267,71.402766,https://2gis.com/firm/70000001076562542,branch
Hajime sushi,,Кафе; Доставка готовых блюд,"Аль-Фараби проспект, 17",7 офис,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.5,182,87172783993,87075554141,,,,http://hajime.kz,,,,,,,,,,,51.093839,71.449422,https://2gis.com/firm/70000001057009763,branch
The Friendly`s,,Кафе; Бары; Доставка готовых блюд; Караоке-залы,"микрорайон Самал, 11",1 этаж,,Самал м-н,Сарыарка район,Астана,,Астана,Казахстан,Ср: 16:00-24:00; Чт: 16:00-24:00; Пт: 16:00-02:00; Сб: 16:00-02:00; Вс: 16:00-24:00,+05:00,4.1,123,87773336222,,,,,,,https://instagram.com/the_friendlys.kz,,,https://wa.me/77773336222,,,,,,51.153878,71.42974,https://2gis.com/firm/70000001039235387,branch
Beer Zone ,,Кафе; Бары,"улица Кенесары, 8",цокольный этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 14:00-02:00; Вт: 14:00-02:00; Ср: 14:00-02:00; Чт: 14:00-02:00; Пт: 14:00-02:00; Сб: 14:00-02:00; Вс: 14:00-02:00,+05:00,4.0,41,87086995817,,,,,,,https://instagram.com/beer.zone01,,,https://wa.me/77086995817,,,,,,51.162319,71.406156,https://2gis.com/firm/70000001049188764,branch
Rooms pub,,Кафе; Бары,"улица Алихан Бокейхан, 25v",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 17:00-03:00; Вт: 17:00-03:00; Ср: 17:00-03:00; Чт: 17:00-03:00; Пт: 17:00-04:00; Сб: 11:00-04:00; Вс: 11:00-01:00 (по предварительному звонку: пн-вс),+05:00,4.0,113,87088000708,,,,,,,https://instagram.com/rooms_pub,https://facebook.com/roomspub,,https://wa.me/77088000708,,,,,,51.086172,71.430574,https://2gis.com/firm/70000001054562480,branch
Асман,,Кафе,"улица Александра Пушкина, 32а",2 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.9,15,87758472047,,,,,,,https://instagram.com/asman_astana,,,https://wa.me/77758472047,,,,,,51.178262,71.488079,https://2gis.com/firm/70000001084177443,branch
Grace Point,,Кафе; Бары,"улица Сыганак, 2",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.7,26,87018061188,,,,,,,https://instagram.com/gracepoint_kitchen,,,https://wa.me/77018061188,,,,,,51.131289,71.366051,https://2gis.com/firm/70000001041741702,branch
Alpamys,лаундж-бар,Кафе; Бары,"проспект Улы Дала, 31",,,,Нура район,Астана,,Астана,Казахстан,Пн: 14:00-02:00; Вт: 14:00-02:00; Ср: 14:00-02:00; Чт: 14:00-02:00; Пт: 14:00-03:00; Сб: 14:00-03:00; Вс: 14:00-02:00,+05:00,4.4,39,87055554648,,,,,,,https://instagram.com/myata_alpamys_astana,,,https://wa.me/77055554648,,,,,,51.100826,71.398241,https://2gis.com/firm/70000001074607736,branch
Neffrit,,Кафе; Доставка готовых блюд,"улица Жумекен Нажимеденов, 16",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-02:00; Вт: 11:00-02:00; Ср: 11:00-02:00; Чт: 11:00-02:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-02:00,+05:00,4.4,21,87077680477,,,,,http://neffrit.kz/,,https://instagram.com/neffrit_astana,,,https://wa.me/77077680477,,,,,,51.117791,71.480177,https://2gis.com/firm/70000001083405015,branch
Ташкент,кафе,Кафе,"проспект Бауыржан Момышулы, 18",цокольный этаж,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.4,41,87477913206,,,,,,,,,,https://wa.me/77477913206,,,,,,51.141783,71.485584,https://2gis.com/firm/70000001067344979,branch
Nurislam,,Кафе,"проспект Туран, 55/6",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 16:00-21:00,+05:00,4.6,33,87077654301,,,,,,,https://instagram.com/cafe.nurislam,,,https://wa.me/77077654301,,,,,,51.111121,71.396319,https://2gis.com/firm/70000001075542812,branch
Clever,,Кафе,"улица Орынбор, 14а",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,4.2,12,87010972020,,,,,,,,,,https://wa.me/77010972020,,,,,,51.108641,71.423393,https://2gis.com/firm/70000001060679775,branch
Qazaq Dami,,Кафе; Доставка готовых блюд,"улица Талапкерская, 6а",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00,+05:00,4.9,18,87017884099,87777884099,,,,,,https://instagram.com/qazaq.dami_cafe,,,https://wa.me/77017884099,https://wa.me/77777884099,,,,,51.18317,71.374625,https://2gis.com/firm/70000001082731479,branch
