Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Lапша Tokyo,,Рестораны; Доставка готовых блюд; Бары,"проспект Ракымжан Кошкарбаев, 8",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.0,80,87782332233,,,,,,http://www.white.kz,,,https://instagram.com/lapsha.astana,,,,https://wa.me/77782332233,,,,,,,51.127469,71.465258,https://2gis.com/firm/70000001051303611,branch
Di Wang,китайский ресторан,Рестораны; Суши-бары,"улица Кадыргали Жалайыри, 4",2 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.8,112,87780508508,,,,,,http://theveil.kz,,,https://instagram.com/diwang_kz,,,,https://wa.me/77780508508,,,,,,,51.140561,71.445961,https://2gis.com/firm/70000001046911253,branch
Saf,,Рестораны; Караоке-залы; Банкетные залы,"улица Касым Аманжолов, 24",1 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.5,692,87778338831,,,,,,,,,https://instagram.com/saf.astana,,,,https://wa.me/77778338831,,,,,,,51.116722,71.473356,https://2gis.com/firm/70000001033364591,branch
SF,,Рестораны; Кафе; Доставка готовых блюд; Суши-бары; Быстрое питание; Пиццерии,"улица Касым Аманжолов, 26",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,1298,87777888888 (служба доставки: круглосуточно ),,,,,,http://shaurma-food.kz,,,https://instagram.com/sf.qaz,,,,https://wa.me/77777888888,,,,,,https://youtube.com/@sf-2077,51.119361,71.473849,https://2gis.com/firm/70000001077134992,branch
Korean home food by Ellina Tyan,,Рестораны; Доставка готовых блюд,"улица Достык, 4",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.3,305,87476493927,,,,,,http://khf.kz,,,https://instagram.com/korean_home_food,,,,https://wa.me/77476493927,,,,,,,51.128274,71.40792,https://2gis.com/firm/70000001057187816,branch
Italio,ресторан,Рестораны; Доставка готовых блюд,"улица Жумекен Нажимеденов, 4/1",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.0,222,87777050888,,,,,,,,,https://instagram.com/italiopizza.rest,,,,https://wa.me/77777050888,,,viber://chat/?number=77012959555,,,,51.120253,71.460144,https://2gis.com/firm/70000001050177243,branch
Samgau,ресторан,Рестораны; Банкетные залы; Доставка готовых блюд,"проспект Абылай хана, 13/1",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.5,53,87007128714,87011549251,,,,,,,,https://instagram.com/samgau.rest,,,,https://wa.me/77011549251,,,,,,,51.15992,71.476352,https://2gis.com/firm/70000001080544508,branch
Uchquduq,,Рестораны; Караоке-залы,"проспект Мангилик Ел, 52а",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,4.3,541,87768888860,,,,,,,,,https://instagram.com/uchquduq_restaurant,,,,https://wa.me/77768888860,,,,,,,51.09151,71.426114,https://2gis.com/firm/70000001036844277,branch
Кызылкум,ресторан,Рестораны; Банкетные залы,"переулок Кызылкум, 13",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.6,15,87172539910,87011088745,,,,,,,,https://instagram.com/kyzylkum.astana,,,,https://wa.me/77011088745,,,,,,,51.135678,71.486454,https://2gis.com/firm/70000001080297816,branch
Sreda,ресто-бар,Рестораны; Бары,"улица Кенесары, 65",цокольный этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.0,161,87020547501,,,,,,,,,https://instagram.com/sreda_na_kenesary,,,,https://wa.me/77020547501,,,,,,,51.167574,71.441799,https://2gis.com/firm/70000001080080320,branch
Rio,бразильский ресторан,Рестораны,"улица Бейбитшилик, 5",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.1,243,87713762100,87716679172,,,,,,,,https://instagram.com/rio_astana,,https://facebook.com/astanario,,https://wa.me/77713762100,https://wa.me/77017985380,,,,,,51.163825,71.420712,https://2gis.com/firm/70000001018072459,branch
Грузин Кузин,,Рестораны,"проспект Кабанбай батыр, 58Б",1-2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+05:00,4.3,683,87752128855,,,,,,,,,https://instagram.com/gruzin_kz,,,,https://wa.me/77752128855,,,,,,,51.095417,71.406393,https://2gis.com/firm/70000001059715368,branch
RANCH,ресторан,Рестораны; Бары; Доставка готовых блюд,"улица Жумекен Нажимеденов, 4",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 13:00-02:00; Вт: 13:00-02:00; Ср: 13:00-02:00; Чт: 13:00-02:00; Пт: 13:00-03:00; Сб: 13:00-03:00; Вс: 13:00-02:00,+05:00,4.8,97,87020543077,,,,,,,,,https://instagram.com/ranch_steakhouse_highvill,,,,https://wa.me/77020543077,,,,,,,51.120284,71.459007,https://2gis.com/firm/70000001077250557,branch
Море море,,Рестораны; Доставка готовых блюд,"улица Жумекен Нажимеденов, 4",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.2,80,87028081888,,,,,,,,,https://instagram.com/moremore.rest,,,,https://wa.me/77028081888,,,,,,,51.120269,71.459245,https://2gis.com/firm/70000001043734803,branch
SF,,Рестораны; Кафе; Доставка готовых блюд; Суши-бары; Быстрое питание; Пиццерии,"проспект Ракымжан Кошкарбаев, 48",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00,+05:00,4.4,1363,87777888888 (служба доставки: круглосуточно ),,,,,,http://shaurma-food.kz,,,https://instagram.com/sf.qaz,,,,https://wa.me/77777888888,,,,,,https://youtube.com/@sf-2077,51.128102,71.495586,https://2gis.com/firm/70000001071472735,branch
ResPUBlika,,Рестораны; Бары,"улица Алматы, 11",2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 17:00-02:00; Вт: 17:00-02:00; Ср: 17:00-02:00; Чт: 17:00-02:00; Пт: 17:00-02:00; Сб: 17:00-02:00; Вс: 17:00-02:00,+05:00,4.7,180,87779990044,,,,,,,,,https://instagram.com/pub_respublika,,,,https://wa.me/77779990044,,,,,,,51.116371,71.428203,https://2gis.com/firm/70000001030459588,branch
Platinum,лаундж-бар,Рестораны; Бары; Караоке-залы,"улица Динмухамед Конаев, 14",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-02:00,+05:00,4.4,722,87771655655,,,,,,,,,https://instagram.com/myata.nursaya,,,,https://wa.me/77771655655,,,,,,,51.128438,71.433984,https://2gis.com/firm/70000001046931318,branch
Мирвари,ресторан,Рестораны,"улица Ахмета Жубанова, 26",1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.5,232,87759502776,87053228879,87751374081,,,,,,,https://instagram.com/mirvari_ast,,,,https://wa.me/77759502776,https://wa.me/77053228879,https://wa.me/77751374081,,https://t.me/+77751374081,https://t.me/+77053228879,,51.170837,71.467288,https://2gis.com/firm/70000001030367336,branch
Rumi,центр плова,Рестораны,"проспект Кабанбай батыр, 62",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.3,2744,87711106161,87475404040 (служба доставки),,,,,http://plov.kz,,,https://instagram.com/rumi_astana,,https://facebook.com/rumi.qazaqstan,,https://wa.me/77053384040,,,,https://t.me/+77053384040,,,51.088556,71.409372,https://2gis.com/firm/70000001027297427,branch
Brewery,пивной бар,Рестораны; Бары; Караоке-залы,"проспект Туран, 30",цокольный этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-02:00,+05:00,4.1,208,87172567711,87028881159,,,,,http://www.brewery.kz,,,https://instagram.com/brewery.rest,,https://facebook.com/profile.php?id=61556904403552,,https://wa.me/77028881159,,,,,,,51.128679,71.406024,https://2gis.com/firm/70000001018064401,branch
Дача,гриль-бар,Рестораны; Кейтеринг,"улица Илияс Омаров, 23",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.3,124,87777996699,,,,,,,,,https://instagram.com/dacha_astana_kz,,,,https://wa.me/77777996699,,,,,,,51.140038,71.369823,https://2gis.com/firm/70000001075778389,branch
Turandot,ресторан,Рестораны; Доставка готовых блюд,"проспект Сарыарка, 40",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00 (служба доставки: пн-вс 12:00-23:00),+05:00,4.2,612,87172444253,87778703377,87777444636 (служба доставки),,,,http://turandot.kz,,,https://instagram.com/turandot.kz,,,,,,,,,,,51.174469,71.407258,https://2gis.com/firm/70000001018123536,branch
Terras,ресторан,Рестораны; Караоке-залы; Бары,"улица Кенесары, 12",6 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.1,208,87010555561,87011855566,,,,,,,,https://instagram.com/terras.kz,,,,https://wa.me/77015238848,https://wa.me/77011855566,,,,,,51.163017,71.411785,https://2gis.com/firm/70000001056389269,branch
Sorte,,Рестораны; Организация и проведение праздников; Бары,"проспект Мангилик Ел, 41/5",1-2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.9,52,87781557722,,,,,,,,,https://instagram.com/sorte.restaurant,,,,https://wa.me/77781557722,,,,,,,51.102414,71.426056,https://2gis.com/firm/70000001061399581,branch
Ocean Basket,ресторан морепродуктов,Рестораны; Доставка готовых блюд,"проспект Кабанбай батыр, 62",2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (служба доставки: пн-вс 10:00-21:30),+05:00,4.4,1632,87007779697,,,,,,http://www.oceanbasket.kz,,,https://instagram.com/oceanbasket.kz,https://twitter.com/theoceanbasket,https://facebook.com/oceanbasket.kazakhstan,,https://wa.me/77010999911,,,,,,,51.088543,71.408223,https://2gis.com/firm/70000001028263064,branch
ШашлыкоFF,ресторан,Рестораны,"улица Керей-Жанибек хандар, 12Б",2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-02:00,+05:00,4.4,57,87023412828 (служба бронирования),87172472821 (служба бронирования),87750851212 (служба доставки),,,,http://evgeniyvolkov.com/pano/shashlikoff1/index.html,,,https://instagram.com/shashlikoff_kz,,https://facebook.com/shashlikoffAstana,https://vk.com/shashlikoff_kz,https://wa.me/77023412828,https://wa.me/77075829393,,,,,,51.115222,71.415091,https://2gis.com/firm/70000001069460226,branch
BAO Sushi&Noodles Bar,ресторан,Рестораны; Доставка готовых блюд; Суши-бары,"проспект Кабанбай батыр, 62",2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.6,585,87021034787,,,,,,http://baofood.kz,,,https://instagram.com/bao_astana,,https://facebook.com/bao.noodles,,https://wa.me/77021034787,,,,,,,51.089221,71.404433,https://2gis.com/firm/70000001064085454,branch
Bal Qaimaq,,Рестораны,"улица Керей-Жанибек хандар, 22",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:30-23:00; Вт: 12:30-23:00; Ср: 12:30-23:00; Чт: 12:30-23:00; Пт: 12:30-23:00; Сб: 12:30-23:00; Вс: 12:30-23:00,+05:00,4.7,35,87075098148,,,,,,,,,https://instagram.com/balqaimaq.astana,,,,https://wa.me/77075098148,,,,,,,51.11346,71.427827,https://2gis.com/firm/70000001084272295,branch
Урумчи Хого,семейный ресторан,Рестораны; Доставка готовых блюд,"улица Алихан Бокейхан, 6",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.4,378,87760777322,,,,,,,,,https://instagram.com/urumchi.hogo.astana2,,,,https://wa.me/77760777322,,,,,,,51.116784,71.43969,https://2gis.com/firm/70000001068596489,branch
Dark Side,бар,Рестораны; Бары,"проспект Мангилик Ел, 52а",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 18:00-02:00; Вт: 18:00-02:00; Ср: 18:00-03:00; Чт: 18:00-02:00; Пт: 18:00-03:00; Сб: 18:00-03:00; Вс: 18:00-02:00,+05:00,4.7,1176,87775520052,,,,,,http://darkside.bar,,,https://instagram.com/darkside.bar,,,,https://wa.me/77775520052,,,,,,,51.091231,71.426168,https://2gis.com/firm/70000001037354430,branch
Franklin,лаундж-бар,Рестораны; Бары,"проспект Мангилик Ел, 17",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 15:00-04:00; Вт: 15:00-04:00; Ср: 15:00-04:00; Чт: 15:00-04:00; Пт: 15:00-04:00; Сб: 15:00-04:00; Вс: 15:00-04:00,+05:00,4.4,124,87000200115,,,,,,,,,https://instagram.com/franklin.lounge_bar,,,,https://wa.me/77000200115,,,,,,,51.115685,71.432893,https://2gis.com/firm/70000001081882391,branch
ResPUBlika,,Рестораны; Бары,"улица Санжара Асфендиярова, 7",,,,Нура район,Астана,,Астана,Казахстан,Пн: 17:00-02:00; Вт: 17:00-02:00; Ср: 17:00-02:00; Чт: 17:00-02:00; Пт: 17:00-02:00; Сб: 17:00-02:00; Вс: 17:00-02:00,+05:00,4.7,42,87759993099,,,,,,,,,https://instagram.com/respublika.pub,,,,https://wa.me/77759993099,,,,,,,51.134332,71.37923,https://2gis.com/firm/70000001079705492,branch
SF,,Рестораны; Кафе; Доставка готовых блюд; Суши-бары; Быстрое питание; Пиццерии,"проспект Туран, 55д/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-02:00; Вт: 11:00-02:00; Ср: 11:00-02:00; Чт: 11:00-02:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-02:00,+05:00,4.1,74,87777888888 (служба доставки: круглосуточно ),,,,,,http://shaurma-food.kz,,,https://instagram.com/sf.qaz,,,,https://wa.me/77777888888,,,,,,https://youtube.com/@sf-2077,51.113923,71.398478,https://2gis.com/firm/70000001083999091,branch
Shifu,китайский ресторан,Рестораны,"улица Сыганак, 17Б",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.4,84,87775937788,,,,,,,,,https://instagram.com/shifu.astana,,,,https://wa.me/77775937788,,,,,,,51.130269,71.390216,https://2gis.com/firm/70000001079692349,branch
Bosna,ресторан,Рестораны; Доставка готовых блюд,"улица Касым Аманжолов, 24",1 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.0,351,87750480303,87172967596 (служба доставки),,,,,,,,https://instagram.com/bosna.steakhouse,,,,https://wa.me/77750480303,,,,,,,51.118029,71.473457,https://2gis.com/firm/70000001050742391,branch
Muller Bar & Grill,пивной ресторан,Рестораны; Бары; Доставка готовых блюд,"улица Малика Габдуллина, 12",1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 15:00-03:00; Вт: 15:00-03:00; Ср: 15:00-03:00; Чт: 15:00-03:00; Пт: 15:00-03:00; Сб: 15:00-03:00; Вс: 15:00-03:00,+05:00,4.4,162,87072225382,,,,,,,,,https://instagram.com/mullerastana,,https://facebook.com/mullerastana,,https://wa.me/77072225382,,,,,,,51.161881,71.432659,https://2gis.com/firm/70000001018070737,branch
Salt,караоке-бар,Рестораны; Караоке-залы; Бары,"проспект Кабанбай батыр, 3",,,,Нура район,Астана,,Астана,Казахстан,Ср: 18:00-04:00; Чт: 18:00-04:00; Пт: 18:00-06:00; Сб: 18:00-06:00; Вс: 18:00-04:00,+05:00,4.8,26,87022246996,,,,,,,,,https://instagram.com/salt.astana,,,,https://wa.me/77022246996,,,,,,,51.150282,71.423121,https://2gis.com/firm/70000001081812168,branch
Leprechaun,ирландский паб,Рестораны; Бары; Доставка готовых блюд,"проспект Кабанбай батыр, 58Б корпус 2",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 15:00-02:00; Вт: 15:00-02:00; Ср: 15:00-02:00; Чт: 15:00-02:00; Пт: 15:00-03:00; Сб: 15:00-03:00; Вс: 15:00-02:00,+05:00,4.2,278,87710468822,,,,,,http://leprechaun.pub,,,https://instagram.com/pub.leprechaun,,https://facebook.com/100083215394581,https://vk.com/club189605551,https://wa.me/77710468822,,,,,,,51.094736,71.405758,https://2gis.com/firm/70000001029643904,branch
SQUAD,лаундж-бар,Рестораны; Бары,"проспект Кабанбай батыр, 9/2",ВП: 5,,,Нура район,Астана,,Астана,Казахстан,Пн: 15:00-03:00; Вт: 15:00-03:00; Ср: 15:00-03:00; Чт: 15:00-03:00; Пт: 15:00-03:00; Сб: 15:00-03:00; Вс: 15:00-03:00,+05:00,4.2,51,87051919116,,,,,,,,,https://instagram.com/squad_astana,,,,https://wa.me/77051919116,,,,,,,51.140639,71.416337,https://2gis.com/firm/70000001039529117,branch
Kobe,,Рестораны; Бары; Доставка готовых блюд,"улица Кайым Мухамедханов, 4 блок B",1 этаж; напротив минимаркета Амаль,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+05:00,4.4,181,87756573531,87000294343,,,,,http://kobe.contact-me.info/,,,https://instagram.com/kitchen.kobe,,https://facebook.com/100070605384677,,https://wa.me/77000294343,https://wa.me/77756573531,,,,,,51.137276,71.40149,https://2gis.com/firm/70000001054534811,branch
Пинта,рестораны,Рестораны; Бары; Доставка готовых блюд,"улица Куйши Дина, 18",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-02:00,+05:00,4.5,1079,87761368139,,,,,,http://pinta.kz,,,https://instagram.com/pinta_astana,,https://facebook.com/pintabar.grill,,https://wa.me/77761368139,,,,,,,51.146949,71.474815,https://2gis.com/firm/70000001028495458,branch
Cloud9 dine&wine,,Рестораны; Бары,"улица Гейдара Алиева, 14",9 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 18:00-01:00; Вт: 18:00-01:00; Ср: 18:00-01:00; Чт: 18:00-01:00; Пт: 18:00-01:00; Сб: 18:00-01:00; Вс: 18:00-01:00,+05:00,4.5,183,87710720045,87172649900,,,,,http://www3.hilton.com/en/hotels/kazakhstan/hilton-astana-TSEKAHI/dining/index.html,,,https://instagram.com/cloud9_astana,,https://facebook.com/hilton.astana,,https://wa.me/77710720045,,,,,,,51.090704,71.410732,https://2gis.com/firm/70000001030596164,branch
Arbat Grill,лаундж-бар,Рестораны; Бары,"улица Мухтара Ауэзова, 12",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00,+05:00,4.8,78,87053050867,,,,,,,,,https://instagram.com/arbat_grill,,,,https://wa.me/77053050867,,,viber://chat/?number=77053050867,,,,51.166816,71.425707,https://2gis.com/firm/70000001077224849,branch
Балкон,,Рестораны; Банкетные залы,"проспект Тауелсиздик, 33",2 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+05:00,4.1,122,87079007444,,,,,,,,,https://instagram.com/balkon_resto_alanda,,,,https://wa.me/77079007444,,,,,,,51.138866,71.463929,https://2gis.com/firm/70000001044372272,branch
Метр,ресто-бар ,Рестораны; Бары,"проспект Кабанбай батыр, 49",,,,Нура район,Астана,,Астана,Казахстан,Пн: 15:00-02:00; Вт: 15:00-02:00; Ср: 15:00-02:00; Чт: 15:00-02:00; Пт: 15:00-04:00; Сб: 15:00-04:00; Вс: 15:00-02:00,+05:00,4.9,34,87075366669,,,,,,,,,https://instagram.com/metr.restobar,,,,https://wa.me/77075366669,,,,,,,51.102205,71.405867,https://2gis.com/firm/70000001081317841,branch
Mare,рестобар,Рестораны; Бары,"улица Наркескен, 1",,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 13:00-01:00; Вт: 13:00-01:00; Ср: 13:00-01:00; Чт: 13:00-01:00; Пт: 13:00-02:00; Сб: 13:00-02:00; Вс: 13:00-01:00,+05:00,4.8,28,87075247777,,,,,,,,,https://instagram.com/mare.astana,,,,https://wa.me/77075247777,,,,,,,51.14926,71.42929,https://2gis.com/firm/70000001079756280,branch
Tower pub,ресторан,Рестораны; Бары,"улица Беимбет Майлин, 8",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 16:00-02:00; Вт: 16:00-02:00; Ср: 16:00-02:00; Чт: 16:00-02:00; Пт: 16:00-02:00; Сб: 14:00-02:00; Вс: 14:00-02:00,+05:00,4.7,214,87172527976,87075019694,,,,,,,,https://instagram.com/towerpub_astana,,,,https://wa.me/77075019694,,,,,,,51.143198,71.468691,https://2gis.com/firm/70000001018074616,branch
Temple,,Рестораны; Бары,"улица Ахмет Байтурсынулы, 3",,,,Алматы район,Астана,,Астана,Казахстан,Ср: 20:00-02:00; Чт: 20:00-02:00; Пт: 20:00-03:00; Сб: 20:00-03:00 (по предварительной записи: ср-сб),+05:00,4.3,43,87711456669,,,,,,,,,https://instagram.com/temple.kz,,,,https://wa.me/77711456669,,,,https://t.me/templekz,,,51.127481,71.45961,https://2gis.com/firm/70000001057723171,branch
Soho,ресто-бар,Рестораны; Бары,"проспект Кабанбай батыр, 43 блок А",,,,Нура район,Астана,,Астана,Казахстан,Пн: 16:00-04:00; Вт: 16:00-04:00; Ср: 16:00-04:00; Чт: 16:00-04:00; Пт: 16:00-04:00; Сб: 12:00-04:00; Вс: 12:00-04:00,+05:00,4.7,27,87012140717,,,,,,,,,https://instagram.com/soho.ast,,,,https://wa.me/77012140717,,,,,,,51.113627,71.404759,https://2gis.com/firm/70000001082354619,branch
Хмельница,пивной ресторан,Рестораны; Бары,"улица Кенесары, 75",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 16:00-04:00; Вт: 16:00-04:00; Ср: 16:00-04:00; Чт: 16:00-04:00; Пт: 16:00-04:00; Сб: 16:00-04:00; Вс: 16:00-04:00,+05:00,4.2,88,87778100404,,,,,,,,,https://instagram.com/hmelnica_astana,,,,https://wa.me/77778100404,,,,,,,51.167176,71.450215,https://2gis.com/firm/70000001070543908,branch
Bodene  ,,Рестораны; Бары; Доставка готовых блюд,"улица Туркестан, 18/1",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.4,124,87015883695,,,,,,,,,,,,,https://wa.me/77015883695,,,,https://t.me/+77015883695,,,51.104424,71.425398,https://2gis.com/firm/70000001067535851,branch
